,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1478653779427807235,1478265146241794049,1641373507000.0,2022-01-05 09:05:07,+0000,,@Upil_Jarann Klitih apa??,in,[],[],1432541051437211649,1432541051437211649,listszz,Chamomile,3,09,https://twitter.com/listszz/status/1478653779427807235,[],[],0,,False,0,0,0,,klitih,,,,,,,"[{'screen_name': 'Upil_Jarann', 'name': '𝖀𝖕𝖎𝖑 𝕵𝖆𝖗𝖆𝖓𝖓', 'id': '1922753293'}]",,,,
1,1478653370332168193,1478265146241794049,1641373410000.0,2022-01-05 09:03:30,+0000,,@Upil_Jarann Klitih itu apa yaa maaf gak tau orang sby soalnya,in,[],[],1080434987449511937,1080434987449511937,ohkasihaaduh,anak ayam,3,09,https://twitter.com/ohkasihaaduh/status/1478653370332168193,[],[],0,,False,0,0,0,,klitih,,,,,,,"[{'screen_name': 'Upil_Jarann', 'name': '𝖀𝖕𝖎𝖑 𝕵𝖆𝖗𝖆𝖓𝖓', 'id': '1922753293'}]",,,,
2,1478653210671738880,1478553668785872897,1641373372000.0,2022-01-05 09:02:52,+0000,,@tooruskies Klitih deng😭,in,[],[],955981104242089984,955981104242089984,nouYxt,levlaw,3,09,https://twitter.com/nouYxt/status/1478653210671738880,[],[],0,,False,0,0,0,,klitih,,,,,,,"[{'screen_name': 'tooruskies', 'name': 'jeje', 'id': '1150385728662073345'}]",,,,
3,1478652645921284101,1477868116075945984,1641373237000.0,2022-01-05 09:00:37,+0000,,@thisisfleti @plumbinq klitih,in,[],[],1121216188988575744,1121216188988575744,yyybren,berbrennnn,3,09,https://twitter.com/yyybren/status/1478652645921284101,[],[],0,,False,0,1,0,,klitih,,,,,,,"[{'screen_name': 'thisisfleti', 'name': 'fletaa🧚🏻\u200d♀️', 'id': '1102726316082642947'}, {'screen_name': 'plumbinq', 'name': '🦠︎ ︎', 'id': '705079657'}]",,,,
4,1478652093544034308,1478651242574278656,1641373105000.0,2022-01-05 08:58:25,+0000,,@idextratime mana bolanya min,in,[],[],1317718973195038722,1317718973195038722,fajartujuhbelas,Klitih Me Inside,3,08,https://twitter.com/fajartujuhbelas/status/1478652093544034308,[],[],0,,False,4,1,1,,klitih,,,,,,,"[{'screen_name': 'idextratime', 'name': 'Extra Time Indonesia', 'id': '1222927522033094656'}]",,,,
5,1478651023539380226,1478607204336881666,1641372850000.0,2022-01-05 08:54:10,+0000,,@thsmmra @convomf banyak klitih contohnya:(,in,[],[],1124347978297237504,1124347978297237504,meimeingambis,"anis, aka",3,08,https://twitter.com/meimeingambis/status/1478651023539380226,[],[],0,,False,0,0,0,,klitih,,,,,,,"[{'screen_name': 'thsmmra', 'name': 'yum', 'id': '1170247005643235329'}, {'screen_name': 'convomf', 'name': '💙 jualan? block', 'id': '1314975287294083073'}]",,,,
6,1478650884800147458,1478650884800147458,1641372817000.0,2022-01-05 08:53:37,+0000,,"Ntar kalo pelaku klitih makin banyak gara2 dibilang ""anak kreatif yg salah sikap"", baru tau rasa kalian...",in,[],[],1078357923141582848,1078357923141582848,winnerstarlight,Peppa🌻,3,08,https://twitter.com/winnerstarlight/status/1478650884800147458,[],[],0,,False,0,0,0,https://twitter.com/Upil_Jarann/status/1478265146241794049,klitih,,,,,,,[],,,,
7,1478650422415876096,1478650422415876096,1641372707000.0,2022-01-05 08:51:47,+0000,,"i use gotham tho wkwkkw  tp lebih ke  menunjuk org2 yg kelakuannya aneh2 atau menjurus ke kriminal kaya klitih, begal, dsb  those are the kind of people who lives in Gotham underground",in,[],[],1266907580305006592,1266907580305006592,sendalpiraun,chrysanthemum,3,08,https://twitter.com/sendalpiraun/status/1478650422415876096,[],[],0,,False,0,0,0,https://twitter.com/pai_jox/status/1478414074593492992,klitih,,,,,,,[],,,,
8,1478650007217586177,1478279533312851970,1641372608000.0,2022-01-05 08:50:08,+0000,,"@ikhsanudinald @dhuhamr @asumsico monggo para klitih, dititeni rupane ya.",in,[],[],1455705100421238785,1455705100421238785,bakulangkring,bakulangkringan,3,08,https://twitter.com/bakulangkring/status/1478650007217586177,[],[],0,,False,0,0,0,,klitih,,,,,,,"[{'screen_name': 'ikhsanudinald', 'name': 'Ikhsanskuter', 'id': '2870071638'}, {'screen_name': 'dhuhamr', 'name': 'POCHINKI', 'id': '550122071'}, {'screen_name': 'asumsico', 'name': 'Asumsi', 'id': '829366551446818816'}]",,,,
9,1478649841664204803,1478630320807112704,1641372568000.0,2022-01-05 08:49:28,+0000,,@nigemizv ke jakal. nangkep klitih,in,[],[],1301566137365180416,1301566137365180416,morenossss,potatojio🍟,3,08,https://twitter.com/morenossss/status/1478649841664204803,[],[],0,,False,0,1,0,,klitih,,,,,,,"[{'screen_name': 'nigemizv', 'name': 'næy⁸', 'id': '1399489218628382721'}]",,,,
